    0.834293400780956040E+00    0.909534648711385607E+01   -0.800681577044119797E+00    0.378632354582950143E+03    0.358867836753704095E+00   -0.643071807348437119E+01
    0.153115002542645962E+01    0.933954090103355306E+01    0.457989034292799690E+00    0.110044184933367160E+04    0.542324412456038019E+00   -0.499684566844696221E+01
    0.129480164041018497E+01    0.937868208779324952E+01    0.315906971099200184E-01    0.814454027625085018E+03    0.510821314840471441E+00   -0.408679595049038369E+01
    0.128853474919645761E+01    0.951707481271598432E+01    0.411011125986436632E+00    0.800621579414639996E+03    0.452463604684374798E+00   -0.385814735018532673E+01
    0.108274588203001576E+01    0.918852718113828715E+01   -0.645707461264199978E-01    0.526023560236878097E+03    0.422066864216194548E+00   -0.244480744053045207E+01
    0.106502505969122740E+01    0.956349529182091551E+01    0.161469411432628718E+00    0.538370734382147702E+03    0.299392198984968272E+00   -0.242460686811569737E+01
    0.110471808118804327E+01    0.900489161877471567E+01    0.724409229625604389E-01    0.523913802252603432E+03    0.352213860750956564E+00   -0.230261406035953975E+01
    0.109660489101641634E+01    0.903845855593709580E+01    0.196047490835843163E+00    0.522247540276933591E+03    0.192114795227977864E+00   -0.210239832432574580E+01
    0.109271716881662129E+01    0.906849078815906395E+01    0.479351826705368911E+00    0.513557021195500852E+03    0.104896894283036279E+00   -0.199111390414785561E+01
    0.124747422160670474E+01    0.928791937259071432E+01    0.493788528163227713E+00    0.674728865405579540E+03    0.424752782109581950E+00   -0.189925980411490158E+01
    0.103173802629814970E+01    0.993604453359501250E+01    0.424621185729584738E+00    0.621569380477061259E+03    0.396883341963267314E-01   -0.187994552856283903E+01
    0.110284380424543071E+01    0.981133852652511962E+01    0.190145398513696495E+00    0.716133692922892806E+03    0.360197155246376577E+00   -0.187209634518451118E+01
    0.105529399141940927E+01    0.955431089850829984E+01    0.292928776501888422E-03    0.567003256850912408E+03    0.183477942001757072E+00   -0.178260769521318174E+01
    0.846717302937567307E+00    0.933017744937915339E+01   -0.322584672163940933E+00    0.380230791738426262E+03    0.677294727810990316E-01   -0.172796407166032040E+01
    0.113415388071840950E+01    0.916493200372504013E+01    0.222719885659351302E+00    0.554051974727175548E+03    0.320330040140917760E+00   -0.171215416339220106E+01
    0.890367825299357984E+00    0.995865826217336192E+01   -0.415819623728371113E+00    0.583394821445593607E+03    0.196264189477002360E+00   -0.161625211498731858E+01
    0.156850696672408252E+01    0.939126990946108720E+01    0.330518318865253402E+00    0.124909737163525119E+04    0.469842937186714604E+00   -0.147808378750272951E+01
    0.940257057632738591E+00    0.955276894511274577E+01    0.245046043735444030E-01    0.434779208400804237E+03    0.882530374340500384E-01   -0.147521487217061420E+01
    0.971043982190213928E+00    0.957619247099712467E+01   -0.180913118166448061E+00    0.506946005591984090E+03    0.118915674539151750E+00   -0.138444342300922862E+01
    0.795415612534530303E+00    0.999739696170473380E+01   -0.347961207194794397E+00    0.412800939498349010E+03    0.369542639343557466E-01   -0.133618165609358819E+01
    0.989758454590674241E+00    0.935396245365204670E+01   -0.351176937387964294E+00    0.498161642914387699E+03    0.529666131935175089E+00   -0.133270173214998522E+01
    0.924053951462094680E+00    0.953226545177993323E+01   -0.548754320728473743E+00    0.482159698256979993E+03    0.366099355482018662E+00   -0.133097646446856466E+01
    0.133495785921532506E+01    0.928850973131850033E+01    0.432951733631679048E+00    0.776681689580438274E+03    0.530824269133656101E+00   -0.127311511547894618E+01
    0.925568825843647525E+00    0.960067067475419300E+01   -0.387502813231363152E+00    0.488620454370094137E+03    0.249867259676511189E+00   -0.126189841184010554E+01
    0.804670380797841256E+00    0.968673038367617956E+01   -0.672660996231873032E+00    0.400698382698699106E+03    0.155268386238502448E+00   -0.123535588931538243E+01
    0.154686735126827757E+01    0.935344985050771704E+01    0.341197960667869005E+00    0.113867396051401101E+04    0.500113165142863303E+00   -0.117669188260349777E+01
