    0.202402592206513887E+01    0.173071251664575221E+01    0.639995344254816523E+00    0.913674729192019797E+01   -0.205526399612426758E+01    0.326550006866455078E+01    0.176338584125041942E+00   -0.150062354063076363E+07   -0.690775511231546968E+01    1
    0.217039693682599077E+01    0.184478899541082830E+01    0.154594146795454290E+01    0.909582121700634438E+01    0.136068403720855713E+00    0.959980487823486328E+01    0.559902335703372889E+00   -0.122749203132487601E+07   -0.690875511231548245E+01    1
    0.166751160141563415E+01    0.129447867408956907E+01    0.551062017263911796E+00    0.920472585145260602E+01   -0.567303180694580078E+00    0.121001601219177246E+02    0.228514653742313362E+00   -0.119846911484977626E+07   -0.690975511231547301E+01    1
    0.235346182825648809E+01    0.129525112457139424E+01    0.481644474101217968E+00    0.910763974099323548E+01    0.430244505405426025E+00    0.253667235374450684E+02    0.153558839857578261E+00   -0.115054205023639509E+07   -0.691075511231547601E+01    1
    0.141092520985418557E+01    0.124501737199906892E+01    0.133660740374552001E+00    0.959935494347024054E+01   -0.181680381298065186E+00    0.610756874084472656E+02    0.334535503387451139E+00   -0.794233029372305027E+06   -0.691175511231546658E+01    1
    0.249816805313086521E+01    0.683835994229418320E+00    0.241948330800016265E+00    0.900995595365620439E+01    0.107206404209136963E+00    0.104271590709686279E+03    0.166389869451522815E+00   -0.748518568387791631E+06   -0.691275511231547579E+01    1
    0.106221285764139894E+01    0.870185423835656335E+00    0.842112104342391921E+00    0.997009665862245598E+01   -0.189613962173461914E+01    0.565404295921325684E+02    0.522086046040058038E+00   -0.721403079711939441E+06   -0.691375511231547435E+01    1
    0.228868372657227548E+01    0.210319859497566775E+01    0.318171842527092630E+00    0.906472912087570393E+01   -0.199489158391952515E+01    0.821710824966430664E+02    0.262099408209323870E+00   -0.671846182280785637E+06   -0.691475511231548357E+01    1
    0.998823164710164191E+00    0.743358019030851858E+00    0.551816726055806672E+00    0.981081254610296583E+01   -0.146309912204742432E+01    0.121294856071472168E+03    0.151530698835849742E+00   -0.630109656148590730E+06   -0.691575511231552209E+01    1
    0.150985729978358751E+01    0.238656796429068951E+00    0.225384208797752228E+00    0.980320650146540018E+01    0.306364536285400391E+00    0.185077250003814697E+03    0.433360096216201751E+00   -0.598276936977479840E+06   -0.691675511231554463E+01    1
    0.163851065811592345E+01    0.687130978210081178E+00    0.324585386296192213E+00    0.929076538465002066E+01   -0.107969039678573608E+01    0.417083501815795898E+02    0.480035291314125034E+00   -0.598083209402353270E+06   -0.691775511231549967E+01    1
    0.140438375615572930E+01    0.602100349605802609E+00    0.435587323197228371E+00    0.973432035073723156E+01   -0.803062736988067627E+00    0.601782202720642090E+02    0.336025997102260554E+00   -0.590981054312484455E+06   -0.691875511231549378E+01    1
    0.177613025395792734E+01    0.696616679030379382E+00    0.465334656270030456E+00    0.934666114130405568E+01   -0.248556578159332275E+01    0.210912823677062988E+03    0.543198561668395974E-01   -0.585678990223904024E+06   -0.691975511231551454E+01    1
    0.196698345734560487E+01    0.106823499008748013E+01    0.713518789432253553E+00    0.901046887902728599E+01   -0.425981163978576660E+00    0.558691620826721191E+02    0.197833800911903362E+00   -0.584388030571471318E+06   -0.692075511231548113E+01    1
    0.111215612069660419E+01    0.425591202590230921E+00    0.192652793092642383E+00    0.995895081905006485E+01   -0.170344614982604980E+01    0.177185118198394775E+03    0.178070572912693015E+00   -0.557433591411138535E+06   -0.692175511231547080E+01    1
    0.241674161904287388E+01    0.130509734666032151E+01    0.341895186284359442E+00    0.911322037183461831E+01    0.392417848110198975E+00    0.277279078960418701E+03    0.163899314701557136E+00   -0.526075199692912516E+06   -0.692275511231549334E+01    1
    0.946548545505344952E+00    0.391148487867092498E+00    0.339440150811811003E+00    0.100952802418795127E+02   -0.165711456537246704E+01    0.210868120193481445E+03    0.101379166841506954E+00   -0.521779934344156121E+06   -0.692375511231548746E+01    1
    0.242532850989872228E+01    0.128327785333782129E+01    0.117463576725042751E+01    0.922291195451318124E+01    0.453329026699066162E+00    0.374026358127593994E+03    0.252640216946601825E+00   -0.515010320832221129E+06   -0.692475511231548957E+01    1
