    0.115703925644250294E+01    0.969986896736469761E+00    0.843139600920057353E+00    0.976779487808019731E+01    0.345769969664340149E+00    0.932837679744534853E+03    0.208200002740410867E-01   -0.300848830568440739E+01
    0.868003360712702010E+00    0.194190906711939865E+00    0.132873442123504687E+00    0.965956821473397476E+01   -0.336701857646439340E+00    0.423966142131176355E+03    0.162313291484175476E+00   -0.263073019940607189E+01
    0.932586653768180840E+00    0.932556083641704281E+00    0.816887379674213543E+00    0.969068346327025232E+01   -0.140095104690467487E+00    0.777663920422327919E+03    0.728506806116012567E-01   -0.245140162264804040E+01
    0.128673437670442992E+01    0.529041289538034643E+00    0.511092357563046051E+00    0.937692774525107708E+01    0.458279834729844016E+00    0.784671482705992617E+03    0.363664557233449370E+00   -0.243542520221995495E+01
    0.900682308291412381E+00    0.424946013900823760E+00    0.140786085939244077E+00    0.966587063587600248E+01   -0.495261438817953703E+00    0.504026805686957402E+03    0.304329962749507132E+00   -0.233540442250834701E+01
    0.139130623298664102E+01    0.119752451419500772E+01    0.214519152099019061E+00    0.931105065378895880E+01    0.192719448706036633E+00    0.110337700913805406E+04    0.559158357460135202E+00   -0.227004537572150866E+01
    0.112972378958902819E+01    0.779441723867186909E+00    0.362302830295599287E+00    0.908029369315364931E+01    0.151942636275912424E+00    0.676007716146384382E+03    0.462835057922577411E-01   -0.195254754607414860E+01
    0.138663492222296614E+01    0.132624292195945581E+01    0.864362978532182025E+00    0.942735405995487419E+01    0.205333995460845742E+00    0.130155340451754910E+04    0.450249417918053396E+00   -0.176967946582445990E+01
    0.833095681157199786E+00    0.575654702142992081E+00    0.161278793699514478E+00    0.959441318983358116E+01   -0.675562287209633627E+00    0.474418218486373917E+03    0.507835045680089039E-01   -0.142300519666083858E+01
    0.110193422178042311E+01    0.236320244647026667E+00    0.131458892539849770E+00    0.955020427613450096E+01   -0.246854858634093510E-01    0.618981162766165653E+03    0.470911431326317353E+00   -0.134342343743143289E+01
    0.126484120567423397E+01    0.396185487482807241E+00    0.369324418046845404E+00    0.936410849565318415E+01    0.720760896269263540E-01    0.765127672551486739E+03    0.458093432445811855E+00   -0.116538847971226645E+01
    0.886286330025599089E+00    0.376066136427753384E+00    0.130691126099681754E+00    0.982593406252914825E+01   -0.763391421227467948E+00    0.541381671247659938E+03    0.504205250335856947E+00   -0.964648227232164146E+00
    0.120299983662972720E+01    0.495267605604700289E+00    0.330166368059856941E+00    0.910695305468332528E+01    0.222315870307533636E+00    0.656941410066079129E+03    0.322302916969513908E+00   -0.940375401846260672E+00
    0.122273373610779390E+01    0.681315332313637612E+00    0.541391013714473512E+00    0.923034219087694474E+01   -0.219373783506690678E+00    0.786906251481213303E+03    0.466905488275675740E+00   -0.808743413510827125E+00
    0.114764822031775870E+01    0.207396797007636607E+00    0.190047808939237672E+00    0.925941826115525046E+01   -0.146032651714863793E+00    0.632082203078580733E+03    0.449639819383470696E+00   -0.792891561347328633E+00
    0.867728590056989546E+00    0.304918927232193049E+00    0.242278517643631619E+00    0.100299060928170203E+02   -0.299921898667461662E+00    0.568133755351872765E+03    0.828624705509386633E-01   -0.771203706472556760E+00
    0.996017660167187180E+00    0.936056279528020618E+00    0.719435868757878794E+00    0.985689355657020627E+01   -0.301347045350977449E+00    0.943348611899584057E+03    0.299352895642573225E+00   -0.732695415186032761E+00
    0.102196952374577288E+01    0.717980665343407209E+00    0.308752454578168134E+00    0.943413283570972716E+01   -0.484737747232553140E+00    0.637694559689642006E+03    0.472517963697126842E+00   -0.708724986866409168E+00
    0.876392474073528271E+00    0.851190260951934619E+00    0.354147723623970623E+00    0.938943434691467615E+01   -0.343247559123408763E+00    0.570339892575787871E+03    0.128882477740274809E+00   -0.560972379810834809E+00
    0.124067022470024324E+01    0.859467650019961060E+00    0.703609896608391461E+00    0.923849397690266017E+01   -0.144235452923313190E+00    0.843169204964264736E+03    0.443395332878730730E+00   -0.559072467079904101E+00
    0.105777594561720467E+01    0.295268090024222718E+00    0.138276701335221242E+00    0.962454184705773841E+01    0.197751312380174404E-01    0.585280128231183085E+03    0.145885390775021245E+00   -0.554272513325996030E+00
